710:-1.3877803 0.64339703 -0.016880013 0.43179357 0.83408695 -0.6653563 0.7183213 -1.4430543 0.3119578 1.7527423
205:0.004202536 0.11135013 -0.20019889 0.87590677 -0.35405612 -0.40407768 -0.01660493 -0.756506 0.011192278 0.35550332
45:0.41077128 -0.2426514 -0.07223068 0.59655887 -0.598441 -0.014154961 0.24903342 -0.609802 -0.2575198 -0.09640648
515:0.37622634 -0.37644127 0.1930117 0.64381886 -0.87855595 -0.4045532 -0.14162216 -0.17648594 -0.4020343 -0.16607678
574:-0.039290283 0.28376228 -0.4095862 0.90142035 -0.26974672 0.06775856 0.4083917 -0.6926702 -0.35143772 0.30781686
858:-0.18045342 -0.044472776 -0.07706529 -0.022249099 0.03497381 0.025471808 0.46388996 0.62220895 -0.1703917 0.44852784
619:-1.0121093 0.37207085 -0.09938728 0.3373961 0.522239 -0.5114721 0.4617543 -0.9904508 0.15026489 1.0938827
507:-0.08371176 0.36965406 -0.08421709 0.016877567 -0.44093323 -0.1223753 0.39629403 -0.3853204 0.05148689 -0.34532228
113:-1.1482396 0.35690826 -0.15936126 0.23318104 -0.13074589 -0.93649596 0.18678606 -0.74089175 0.025777182 1.1732993
34:-0.027496167 0.36144972 -0.26005054 0.59323597 -0.15150437 0.35391536 -0.34433752 0.26936576 0.1359749 0.2701448
563:-0.13067563 0.4235414 0.016108735 0.76306415 -0.30191526 -0.54582727 0.48356438 -0.37056988 -0.30147684 -0.019767866
381:0.25357947 -0.24874803 0.621737 0.39964476 -0.50468445 -0.3589182 -0.10540548 -0.7814173 0.3611111 -0.16059831
455:-0.29948393 -0.6099372 0.8583871 0.52318084 0.101280555 0.13178788 0.34181252 -0.8753573 0.66681993 0.079634145
67:-0.5228605 1.0289972 0.005216247 1.1608367 0.90721655 -1.7489315 0.216053 -1.2544827 -0.80945665 1.069106
388:0.13245879 0.15086792 -0.21689929 0.8060567 -0.5920153 -0.70388997 0.07506547 0.07736885 -0.25990695 0.2943712
974:-0.9371087 0.17418745 -0.20335415 0.87607306 -0.28961268 -0.5944726 0.14421217 0.21379949 -0.34086838 -0.21803172
310:-0.7499951 0.39424002 1.0044215 0.84786433 1.077597 -0.14691572 0.34233898 -1.2708917 0.3475817 0.5783618
169:-0.11327292 -0.44587734 0.9721818 0.41088077 0.31226656 0.103207506 0.22370157 -1.1819435 0.9268705 0.041481446
444:0.22566566 0.12256174 -0.033358023 0.61228204 -0.06811026 -0.2563229 0.71412873 -0.80695134 0.0592166 -0.10476511
120:-0.8329295 0.25742102 0.3137943 0.34573564 0.15847062 -0.30424714 0.20881997 -0.78527695 0.34787482 0.907012
193:0.033669822 -0.07074481 0.41441178 0.016647339 -0.39062366 0.39444017 0.27307162 -0.68379456 -0.25497237 -0.16441002
713:-0.9374763 0.9050657 0.17334943 0.9711113 0.39662665 -1.4415886 0.086455815 -1.4748393 -0.63474125 0.7734679
302:0.05714438 0.20993555 -0.15252817 0.69126457 -0.46408984 -0.66664356 0.19343504 -0.20902091 -0.11270125 -0.04839944
153:-0.4554591 0.0574933 -0.121290736 -0.045815784 -0.19337396 0.61470544 0.28187248 0.03141196 1.4396377 -0.5046427
844:-0.5555398 0.9121801 0.07577287 1.3617281 0.24433874 -1.6203794 0.37894854 -1.0855007 -0.90737784 0.6545882
335:-0.13892674 0.5255795 -0.40808946 0.7056354 -0.41196123 -0.55425537 0.5637129 -0.48154587 -0.34254792 -0.1587024
885:-0.876062 0.3008714 0.35834888 0.7113497 0.6727854 -0.4963218 0.08651342 -0.5339685 -0.23339823 0.77773565
735:-0.22109322 0.49901637 -0.19930366 0.34603038 0.126273 -0.16151656 1.1801733 -0.3934128 -0.4819979 0.2239516
664:-0.896404 0.77112764 0.4273549 0.47432294 0.4543549 -0.93422127 0.49622995 -0.9919846 -0.34617457 1.0101866
93:-0.21224113 0.26929387 0.38159233 0.08097962 0.20934339 -0.052963726 0.7364261 -1.2225056 0.4691429 0.4379292
158:-0.20647393 -0.43766305 1.2565936 0.01937152 -0.13130479 0.56952333 -0.17031732 -0.6636697 0.10379415 0.035842087
458:-0.44221118 0.6150326 0.6996362 0.5550087 -0.020670636 -0.6794326 0.5050419 -0.8593885 0.095181145 -0.11309171
997:-0.6280376 1.2330724 0.23466422 0.8654399 0.07365815 -1.1876069 0.5871918 -0.5671692 -0.72785735 0.6186256
182:-0.40740123 0.06347672 0.4380123 0.81541497 -0.31017682 -0.69519675 -0.010483087 -0.92635953 0.027901132 0.57042783
147:0.2580594 0.16027585 0.11704283 0.42843068 -0.31832248 -0.27290335 0.5482674 -0.3753457 0.07598267 0.18735084
616:-0.040289372 -0.7532668 0.5611129 0.67495996 0.14900723 0.25132358 0.45550397 -0.57471377 0.46155077 0.018799625
589:0.23653398 0.28365833 0.03700385 -0.1586226 -0.17601916 0.34796932 0.14446017 0.3965907 0.2173916 0.081472635
544:-0.50172544 0.86814255 0.33943036 -0.20797426 -0.17176965 -0.3517877 0.64073366 -1.3299208 0.06179384 -0.2857417
436:-0.58399 0.7606283 0.24858573 -0.22544007 -0.21471588 -0.46997568 0.46241155 -1.2062482 0.08367955 -0.2956294
862:-0.4575177 0.3008022 -0.117151596 0.93719745 -0.05607895 -0.8742202 -0.012827941 -0.5280612 -0.4405522 0.40602434
836:-0.96811485 0.41959116 0.27302536 -0.23785178 0.1259235 -0.36678907 0.68569773 -0.6946329 0.41981465 0.5923733
